tX0,component,regime,weight,mean_z,sigma_z,var_z
5e-05,0,negligible,1.0,1.0,0.0,0.0
0.0001,0,thin_no_loss,0.98,1.0,0.0,0.0
0.0001,1,thin_tail,0.02,0.9950002499916677,0.0001,1e-08
0.0003,0,thin_no_loss,0.98,1.0,0.0,0.0
0.0003,1,thin_tail,0.02,0.9850022497750188,0.0003,8.999999999999999e-08
0.001,0,thin_no_loss,0.98,1.0,0.0,0.0
0.001,1,thin_tail,0.02,0.950024991668752,0.001,1e-06
0.003,0,thin_no_loss,0.97,1.0,0.0,0.0
0.003,1,thin_tail,0.03,0.9001498501124343,0.003,9e-06
0.01,0,thin_no_loss,0.9,1.0,0.0,0.0
0.01,1,thin_tail,0.1,0.9004983374916808,0.01,0.0001
0.03,0,thin_no_loss,0.8,1.0,0.0,0.0
0.03,1,thin_tail,0.2,0.8522276677425406,0.03,0.0009
0.1,0,high_x,0.048180879949250806,0.93316148972,0.03137979236706324,0.000984691369
0.1,1,high_x,0.07947723340738977,0.5368092176,0.05295070018422797,0.00280377665
0.1,2,high_x,0.20463812884641225,0.1029977661999999,0.0,0.0
0.1,3,high_x,0.1724890605494721,0.08417596999999999,0.040715849370975915,0.0016577803899999997
0.1,4,high_x,0.18677800922839,0.0785702089000001,0.0,0.0
0.1,5,high_x,0.3084366880190849,0.02042142310000017,0.057034385160182104,0.0032529210906000004
0.2,0,high_x,0.03476188857105971,0.92787624144,0.027711897950158517,0.0007679492879999999
0.2,1,high_x,0.021931382316502608,0.6271497792,0.07001917166033886,0.0049026844
0.2,2,high_x,0.22906905987005807,0.43995419840000005,0.0,0.0
0.2,3,high_x,0.17873341512138463,0.4732931200000001,0.04880600045076425,0.00238202568
0.2,4,high_x,0.20017467140710887,0.49694496480000017,0.0,0.0
0.2,5,high_x,0.335329582713886,0.6733405792,0.053149874460811285,0.0028249091552
