tx0_low,tx0_high,tx0_center,component,loss_class,count,weight,mean_z,variance_z,sigma_z,ebrem_count,ebrem_fraction,mean_minus_log_z
0.0,0.0001,5e-05,0,no_ebrem,2423449,0.9992161956006349,1.0,0.0,0.0,0,0.0,0.0
0.0,0.0001,5e-05,1,small,1296,0.0005343558661636465,0.9988476692277664,4.262027532009327e-06,0.002064467856860292,1296,1.0,0.001155138043085502
0.0,0.0001,5e-05,2,moderate,260,0.00010720102253283032,0.9755624455114223,0.0001248596728363749,0.011174062503690182,260,1.0,0.02480705367305062
0.0,0.0001,5e-05,3,large,182,7.504071577298122e-05,0.8913584429559386,0.001648519464790943,0.040601963804611015,182,1.0,0.1160660838083873
0.0,0.0001,5e-05,4,extreme,163,6.720679489558208e-05,0.5360874351124194,0.04891963066579058,0.22117782589082158,163,1.0,0.7845013994210108
0.0001,0.0005,0.00022360679774997898,0,no_ebrem,40940,0.9969803233976232,1.0,0.0,0.0,0,0.0,0.0
0.0001,0.0005,0.00022360679774997898,1,small,83,0.002021235145139295,0.9986480715694265,4.6506375428467805e-06,0.002156533686926031,83,1.0,0.0013551813767827816
0.0001,0.0005,0.00022360679774997898,2,moderate,19,0.0004626923826222482,0.9787054050959042,7.206832202100166e-05,0.008489306333323217,19,1.0,0.02156242539325961
0.0001,0.0005,0.00022360679774997898,3,large,12,0.0002922267679719462,0.8772257449308154,0.0013333195704788858,0.03651464871087884,12,1.0,0.1318613516499759
0.0001,0.0005,0.00022360679774997898,4,extreme,10,0.00024352230664328854,0.6169707288397023,0.018047767691370842,0.13434198037609407,10,1.0,0.5112165193736253
0.0005,0.002,0.001,0,no_ebrem,40021,0.992559708340567,1.0,0.0,0.0,0,0.0,0.0
0.0005,0.002,0.001,1,small,164,0.004067359440490068,0.9983292682582346,5.749393348186693e-06,0.0023977892626723253,164,1.0,0.0016750222468601599
0.0005,0.002,0.001,2,moderate,52,0.0012896505543017287,0.9749488291755009,0.00013542442016811762,0.011637199842235142,52,1.0,0.02544187000341402
0.0005,0.002,0.001,3,large,40,0.0009920388879244067,0.9020003226015364,0.0013923985684636264,0.03731485720813663,40,1.0,0.10401207808096002
0.0005,0.002,0.001,4,extreme,44,0.0010912427767168474,0.5809841610246799,0.04868662435589749,0.22065045741148484,44,1.0,0.6645068453432987
0.002,0.005,0.0031622776601683794,0,no_ebrem,9588,0.9551703526598924,1.0,0.0,0.0,0,0.0,0.0
0.002,0.005,0.0031622776601683794,1,small,250,0.024905359633393107,0.9985149523273876,4.369637586432162e-06,0.002090367811279193,250,1.0,0.0014883492978954242
0.002,0.005,0.0031622776601683794,2,moderate,69,0.006873879258816497,0.9744336695044534,0.00011800267935146991,0.010862903817647927,69,1.0,0.025961234435153666
0.002,0.005,0.0031622776601683794,3,large,61,0.0060769077505479175,0.8906076487654158,0.0017553532846341646,0.04189693645881718,61,1.0,0.11697093871197345
0.002,0.005,0.0031622776601683794,4,extreme,70,0.00697350069735007,0.5385658395169836,0.04871288975114385,0.22070996749386707,70,1.0,0.7708369138809126
0.005,0.01,0.007071067811865475,0,no_ebrem,28849,0.9105513998043114,1.0,0.0,0.0,0,0.0,0.0
0.005,0.01,0.007071067811865475,1,small,1628,0.05138402297762207,0.9982298578592849,5.365440484017547e-06,0.0023163420481478003,1628,1.0,0.001774409901093689
0.005,0.01,0.007071067811865475,2,moderate,487,0.01537101915853928,0.975890578953647,0.00012498784475767355,0.011179796275320654,487,1.0,0.024470769638178097
0.005,0.01,0.007071067811865475,3,large,377,0.011899125714105356,0.8961412626296879,0.0016794153826326097,0.04098067084166156,377,1.0,0.11072610364617687
0.005,0.01,0.007071067811865475,4,extreme,342,0.010794432345421835,0.5278371653156413,0.04706965545977787,0.21695542274803337,342,1.0,0.7895073113600872
0.01,0.015,0.01224744871391589,0,no_ebrem,18940,0.8526154677230575,1.0,0.0,0.0,0,0.0,0.0
0.01,0.015,0.01224744871391589,1,small,1756,0.07904924822184208,0.9979205462447697,6.395978888074083e-06,0.002529027261235846,1756,1.0,0.0020848380083754296
0.01,0.015,0.01224744871391589,2,moderate,571,0.025704510668947512,0.9746725440572397,0.00012434290648866142,0.011150915051629684,571,1.0,0.025719406656214295
0.01,0.015,0.01224744871391589,3,large,488,0.021968128207436752,0.893672370928063,0.0016855349042544931,0.04105526646186203,488,1.0,0.11348978991366855
0.01,0.015,0.01224744871391589,4,extreme,459,0.020662645178716126,0.5475721621339215,0.041794329167051114,0.204436614056903,459,1.0,0.744667601194554
0.015,0.02,0.017320508075688773,0,no_ebrem,2168,0.8128983877015373,1.0,0.0,0.0,0,0.0,0.0
0.015,0.02,0.017320508075688773,1,small,282,0.10573678290213723,0.9977989996290333,6.559667315664264e-06,0.0025611847484444117,282,1.0,0.0022067273019065773
0.015,0.02,0.017320508075688773,2,moderate,87,0.03262092238470191,0.9768982836518149,0.00011223656930814396,0.01059417619771089,87,1.0,0.02343186535728704
0.015,0.02,0.017320508075688773,3,large,58,0.021747281589801274,0.8894635597247946,0.001655196153906635,0.040684101979847544,58,1.0,0.11819931649370294
0.015,0.02,0.017320508075688773,4,extreme,72,0.02699662542182227,0.4773879349825132,0.06582837213204143,0.25657040385056384,72,1.0,1.0097272385594718
