file_index,event_id,n_comps,n_hits,n_hits_total,charge,gsf_p_header,gsf_chi2_header,gsf_ndf_header,truth_pt,lcio_pt,gsf_pt,truth_eta,lcio_eta,gsf_eta,truth_phi,lcio_phi,gsf_phi,lcio_d0,gsf_d0,lcio_z0,gsf_z0,truth_p,lcio_p,gsf_p,lcio_chi2,lcio_ndf,gsf_chi2,gsf_ndf,splits,reductions,peak_comps,final_comps,best_weight,mean_weight,weight_ratio,max_tX0,total_tX0,entry_index,primary_tracker_ebrem_count,tracker_cumulative_frac_loss,max_tracker_single_frac_loss,tracker_sum_loss_GeV
1,0,25,233,233,-1,2.19,0.0,458.0,2.0004,2.0008,2.0003,0.0874,0.0875,-0.4347,-0.896,-0.8914,-0.5098,-0.004,-8.3397,-0.0058,11.271,2.008,2.008,2.192,459.9,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,0,2,0.0013217387993852414,0.0007223422097704102,0.0026531219482421875
1,1,25,233,233,-1,2.18,0.0,458.0,2.0004,2.0022,2.0024,0.0874,0.0871,0.4235,2.401,2.4058,1.9941,0.0025,6.5675,-0.0023,-5.1778,2.008,2.01,2.185,436.0,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,1,1,0.0006474345894872391,0.0006474345894872391,0.0012981891632080078
1,2,25,233,233,-1,2.11,0.0,458.0,2.0004,1.995,1.9952,0.0874,0.0871,0.3356,-2.1,-2.0956,-3.1411,0.0019,25.4788,0.0066,-4.1092,2.008,2.003,2.109,464.7,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,2,2,0.011986523011667138,0.009637877873602263,0.02401578426361084
1,4,25,233,233,-1,2.1,0.0,458.0,2.0004,1.9992,1.9988,0.0874,0.0877,-0.3118,-0.8326,-0.8285,-1.8594,-0.0052,14.2005,0.001,4.1505,2.008,2.007,2.097,459.4,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,4,1,3.6170827680148676e-05,3.6170827680148676e-05,7.2479248046875e-05
1,5,25,233,233,-1,2.24,0.0,458.0,2.0004,1.9234,1.9238,0.0874,0.087,0.5634,-0.8848,-0.8798,-1.0521,0.0045,3.6593,0.0053,-11.007,2.008,1.931,2.237,595.9,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,5,2,0.04092444024381703,0.04051673566153702,0.0821307897567749
1,6,25,233,233,-1,2.09,0.0,458.0,2.0004,1.975,1.9752,0.0874,0.0881,0.3405,2.4579,2.4618,2.4807,-0.0008,-0.3875,-0.0023,-4.3021,2.008,1.983,2.091,466.4,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,6,2,0.015159969602083323,0.013473550216668628,0.030414223670959473
1,7,25,233,233,-1,2.06,0.0,458.0,2.0004,2.0004,2.0006,0.0874,0.0879,0.2512,2.131,2.1356,1.8179,-0.0037,6.8035,-0.0031,-3.4449,2.008,2.008,2.064,439.4,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,7,2,0.007529134301931584,0.0075278363855634245,0.015093207359313965
1,8,25,233,233,-1,2.03,0.0,458.0,2.0004,2.0008,2.0006,0.0874,0.0879,-0.1737,0.4569,0.462,-1.3661,0.0039,55.3707,-0.0015,6.3979,2.008,2.009,2.031,433.8,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,8,1,0.00024103439411049532,0.00024103439411049532,0.00048351287841796875
1,10,25,234,234,-1,2.03,0.0,460.0,2.0004,2.0017,2.0015,0.0874,0.088,-0.1707,2.9247,2.9304,2.5725,-0.0084,13.9852,0.0004,10.1814,2.008,2.009,2.031,467.5,462,0.0,460,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0217,10,1,3.505385579338771e-05,3.505385579338771e-05,7.033348083496094e-05
1,12,25,233,233,-1,2.01,0.0,458.0,2.0004,1.9658,1.9659,0.0874,0.0874,0.2161,-1.0863,-1.0824,-2.152,-0.0009,20.3122,-0.0006,-0.9844,2.008,1.973,2.012,543.1,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,12,1,0.015127483688529453,0.015127483688529453,0.03026866912841797
1,13,25,233,233,-1,2.5,0.0,458.0,2.0004,1.9943,1.9949,0.0874,0.0876,0.6971,2.9559,2.9608,2.3119,0.0054,24.7055,0.0033,-23.7525,2.008,2.002,2.5,424.9,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,13,1,0.0037826258385732503,0.0037826258385732503,0.007589221000671387
1,15,5,232,232,-1,16.63,261.0,456.0,2.0004,2.0036,2.0039,0.0874,0.0877,2.8057,2.3206,2.3251,-0.1337,0.0038,10.4258,-0.0023,107.4326,2.008,2.011,16.633,413.1,458,261.0,456,1,0,5,5,0.6068,0.2,3.03,0.0032,0.0195,15,1,4.7097105668747474e-05,4.7097105668747474e-05,9.441375732421875e-05
1,16,25,234,234,-1,2.82,0.0,460.0,2.0004,1.8118,1.8124,0.0874,0.0877,1.0095,-0.4653,-0.4616,-1.6066,0.0056,15.085,-0.0014,-6.7157,2.008,1.819,2.817,1004.6,462,0.0,460,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0217,16,1,0.09808640906927435,0.09808640906927435,0.19672930240631104
1,18,25,233,233,-1,2.0,0.0,458.0,2.0004,2.0021,2.002,0.0874,0.088,-0.0424,-3.0387,-3.0337,-2.884,0.0067,-6.0287,-0.0055,5.1,2.008,2.01,2.004,572.4,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,18,1,0.06017817715801044,0.06017817715801044,0.12062060832977295
1,19,25,233,233,-1,2.0,0.0,458.0,2.0004,1.9986,1.9985,0.0874,0.0874,-0.0492,-0.9405,-0.9354,-0.2385,0.0001,-14.4872,-0.0027,2.8165,2.008,2.006,2.001,477.2,460,0.0,458,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0201,19,1,0.011310889630258614,0.011310889630258614,0.022680163383483887
1,20,25,234,234,-1,2.01,0.0,460.0,2.0004,2.0,2.0001,0.0874,0.0877,0.0821,-0.2918,-0.2867,-1.1948,-0.0002,32.189,-0.0057,0.7524,2.008,2.008,2.007,513.3,462,0.0,460,2,1,25,25,0.3397,0.04,8.49,0.0032,0.0205,20,1,0.0008002048600527223,0.0008002048600527223,0.0016047954559326172
1,22,5,232,232,-1,59.27,252.8,456.0,2.0004,1.9966,1.9971,0.0874,0.0871,4.0833,1.5305,1.5355,0.5167,0.0044,-1031.7084,0.0042,-1116.297,2.008,2.004,59.271,404.0,458,252.8,456,1,0,5,5,0.6068,0.2,3.03,0.0032,0.0195,22,1,0.00010868849923628687,0.00010868849923628687,0.0002181529998779297
1,24,5,233,233,-1,41.16,349.3,458.0,2.0004,1.971,1.9708,0.0874,0.088,-3.7317,-1.5867,-1.5795,-2.4803,-0.0044,-1202.5728,0.0006,992.3448,2.008,1.979,41.164,484.6,460,349.3,458,1,0,5,5,0.6068,0.2,3.03,0.0032,0.0199,24,1,0.013678554765011675,0.013678554765011675,0.027448296546936035
