entry_index,file_index,event_id,tracking_file,material_step_file,primary_tracker_ebrem_count,tracker_cumulative_frac_loss,max_tracker_single_frac_loss,tracker_sum_loss_GeV
0,1,0,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.0013217387993852414,0.0007223422097704102,0.0026531219482421875
1,1,1,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.0006474345894872391,0.0006474345894872391,0.0012981891632080078
2,1,2,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.011986523011667138,0.009637877873602263,0.02401578426361084
4,1,4,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,3.6170827680148676e-05,3.6170827680148676e-05,7.2479248046875e-05
5,1,5,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.04092444024381703,0.04051673566153702,0.0821307897567749
6,1,6,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.015159969602083323,0.013473550216668628,0.030414223670959473
7,1,7,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.007529134301931584,0.0075278363855634245,0.015093207359313965
8,1,8,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.00024103439411049532,0.00024103439411049532,0.00048351287841796875
10,1,10,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,3.505385579338771e-05,3.505385579338771e-05,7.033348083496094e-05
12,1,12,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.015127483688529453,0.015127483688529453,0.03026866912841797
13,1,13,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.0037826258385732503,0.0037826258385732503,0.007589221000671387
15,1,15,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,4.7097105668747474e-05,4.7097105668747474e-05,9.441375732421875e-05
16,1,16,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.09808640906927435,0.09808640906927435,0.19672930240631104
18,1,18,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.06017817715801044,0.06017817715801044,0.12062060832977295
19,1,19,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.011310889630258614,0.011310889630258614,0.022680163383483887
20,1,20,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.0008002048600527223,0.0008002048600527223,0.0016047954559326172
22,1,22,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.00010868849923628687,0.00010868849923628687,0.0002181529998779297
24,1,24,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.013678554765011675,0.013678554765011675,0.027448296546936035
26,1,26,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.07259457680846426,0.06820865978108304,0.14575159549713135
29,1,29,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,3,0.010606822564125151,0.0060666886777076545,0.02127838134765625
30,1,30,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.018777358782905207,0.018777358782905207,0.03767812252044678
31,1,31,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.000630149626638099,0.000630149626638099,0.0012631416320800781
33,1,33,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,3,0.04748995439731074,0.04702286554666257,0.09517478942871094
36,1,36,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.014197136581404202,0.014197136581404202,0.028499603271484375
37,1,37,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.00020453754655314071,0.00020453754655314071,0.0004100799560546875
44,1,44,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.03955093842230406,0.03894112760765289,0.07934951782226562
45,1,45,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.0027515432630756953,0.0027515432630756953,0.005518674850463867
47,1,47,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.0013630977870573435,0.0013630977870573435,0.002735137939453125
48,1,48,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.03339443583737922,0.03339443583737922,0.06699323654174805
52,1,52,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.00021145668678090868,0.0001170757960589075,0.0004241466522216797
54,1,54,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.03391315411167806,0.03391315411167806,0.06799983978271484
55,1,55,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.002635871955530278,0.0025519786211781748,0.0052890777587890625
58,1,58,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.0018835161391376198,0.0018835161391376198,0.0037801265716552734
60,1,60,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.010480228965624505,0.007205236695707495,0.021007895469665527
62,1,62,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.0006045876625364599,0.0006045876625364599,0.0012125968933105469
63,1,63,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.03377685986969714,0.03377685986969714,0.0677255392074585
64,1,64,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,4,0.024365051613826516,0.01985623110418,0.04884743690490723
67,1,67,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.015292775363974553,0.011186308314526494,0.030690908432006836
68,1,68,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.0013251701804996019,0.0013251701804996019,0.002660036087036133
69,1,69,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.00025187946318994126,0.00025187946318994126,0.0005049705505371094
71,1,71,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.0004026721274866807,0.0004026721274866807,0.0008082389831542969
72,1,72,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.00044805245621926115,0.00044805245621926115,0.0008995532989501953
74,1,74,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.004996330737883636,0.004996330737883636,0.010020256042480469
75,1,75,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.01563108165200011,0.01556194036805425,0.03135180473327637
76,1,76,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.08376421492490249,0.0837491843368422,0.16799569129943848
77,1,77,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.009901383061272306,0.009901383061272306,0.019865989685058594
78,1,78,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.0009580615757832645,0.0008304785694579486,0.0019174814224243164
79,1,79,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.0001724957847233366,0.0001724957847233366,0.00034618377685546875
80,1,80,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.006344868030169426,0.006344868030169426,0.012722253799438477
81,1,81,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.06150244487405521,0.06149899479728993,0.12335860729217529
82,1,82,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,0.03886329455544124,0.03886329455544124,0.07793545722961426
85,1,85,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,2,0.0025681725457722404,0.002065461387026013,0.00034905970096588135
87,1,87,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,1,6.990282674901316e-05,6.990282674901316e-05,0.00014019012451171875
88,1,88,trk-e--2.0-85-1.root,gsf_material_steps-e--2.0-85-1.root,3,0.09552922146129761,0.09060054184811328,0.1915034055709839
