sample,quantity,abs_threshold,count,fraction
electron,d0_mm,0.1,69,0.069
electron,d0_mm,1.0,61,0.061
electron,d0_mm,10.0,45,0.045
electron,z0_mm,0.1,58,0.058
electron,z0_mm,1.0,34,0.034
electron,z0_mm,10.0,4,0.004
electron,phi_mrad,1.0,201,0.201
electron,phi_mrad,10.0,69,0.069
electron,phi_mrad,100.0,41,0.041
electron,omega_rel_pct,1.0,257,0.257
electron,omega_rel_pct,10.0,127,0.127
electron,omega_rel_pct,100.0,31,0.031
electron,pt_rel_pct,1.0,257,0.257
electron,pt_rel_pct,10.0,124,0.124
electron,pt_rel_pct,50.0,31,0.031
muon,d0_mm,0.1,0,0.0
muon,d0_mm,1.0,0,0.0
muon,d0_mm,10.0,0,0.0
muon,z0_mm,0.1,0,0.0
muon,z0_mm,1.0,0,0.0
muon,z0_mm,10.0,0,0.0
muon,phi_mrad,1.0,50,0.05
muon,phi_mrad,10.0,0,0.0
muon,phi_mrad,100.0,0,0.0
muon,omega_rel_pct,1.0,4,0.004
muon,omega_rel_pct,10.0,0,0.0
muon,omega_rel_pct,100.0,0,0.0
muon,pt_rel_pct,1.0,4,0.004
muon,pt_rel_pct,10.0,0,0.0
muon,pt_rel_pct,50.0,0,0.0
